Family	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
Actinomycetaceae	0	0	0	0	0.00743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00778	0.0143	0	0.017	0.0118	0.35	0.0998	0.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498	0.0259	0.026	0.0322	0.117	0	0	0.0439	0.633	0	0	0	0	0	0	0	0	0	0.6
Acetobacteraceae	2.88	5.75	11.6	3.54	22.9	3.51	2.17	24.6	4.06	3.1	10.2	1.79	0.667	9.95	19.3	0.876	1.93	1.33	0.224	2.09	9.36	1.99	0.784	3.57	0.524	0.345	0.759	1.31	0.631	0.61	0.482	2.5	1.11	0.25	0.521	1.08	0.105	3.55	60.4	0	0.798	21.9	0.107	3.13	0.13	0.642	95.3	96.9	96.6	98.6	97.9	98.6	92.9	95.8	89.6	90.7	92.1	94.5	87.1	83.9	59.4	87.4	92.4	90.2	0.0996	0.125	0.13	0.623	0.849	2.24	0.716	0.23	0	17.2	19.5	10	82.2	63.5	85.4	0.877	0.14	0.635	0.6
Phyllobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0	0	0	0	0.00212	0.00507	0	0	0	0	0	0	0.0747	0.0104	0.039	0.0752	0.0732	0	0	0.0768	0	0	0	0	0	0.00372	0	0.00545	0	0	0.3
Thermoanaerobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0.0119	0	0	0	0	0	0	0.00736	0	0	0	0	0	0	0	0.00778	0	0.0262	0	0	0	0.599	0.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Synergistaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254	0	0.00238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Petrotogaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00843	0	0	0	0	0	0	0.00442	0.00846	0.00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139	0.00258	0.00163	0.00211	0	0	0	0	0	0	0.00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Ruminococcaceae	0	0	0	0	0	0	0.00854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00843	0	0	0.00677	0	0.00514	0	0	0	0.00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000458	0	0	0	0	0	0	0	0	0	0.00996	0.119	0	0	0.0146	0	0	0	0.211	0	0	0	0	0	0	0	0	0	0.3
Rhizobiales_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0996	0.0363	0.078	0.0752	0.146	0	0	0.132	1.48	0	0	0	0	0	0	0	0	0	0.3
Streptococcaceae	0.0134	0.287	0.0566	0.288	0.0743	0.526	0.0427	0.153	0.0467	0.0449	0.159	0.186	0.00804	0.0278	1.06	0.012	0.101	0.0117	0.0102	0	0.00719	0.0071	0	0	0.0068	0	0	0.0154	0.0994	0.00884	0	0	0	0	0	0	0	0.034	0.355	0.35	0	0.698	0.00152	0.0753	0.0394	0.00868	0.00369	0.00139	0.00258	0.0146	0	0.00132	0.00491	0.00287	0.00413	0	0	0	0	0	0	0	0	0	0.00996	0.0104	0.013	0	0	0.00831	0.0215	0.011	0	4.61	3.57	0.0275	0	0.748	0	0	0.0739	0.0122	0.3
Planctomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00996	0	0.039	0	0.0293	0	0	0	0.211	0	0	0	0	0	0	0	0	0	0.3
Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0.0396	0	0.0592	0.00174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Patulibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0.00254	0.00587	0.00238	0	0	0	0	0	0.00519	0.039	0	0.0146	0	0.00716	0.0439	0	0	0	0.00393	0	0	0	0	0	0	0.3
Burkholderiaceae	0	0	0	0	0	0.00835	0	0	0	0	0	0	0	0	0	0.012	0	0.0117	0	0	0	0	0	0	0	0	0	0.00514	0.00497	0.00442	0	0	0	0	0	0.00951	0	0	0	0	0	0.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Erysipelotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0822	0	0	0	0	0	0.00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384	0	0	0	0	0	0	0	0.3
